# legalhist.whitelist candidates for OCR digit-corrupted reporter abbreviations
# sample: 1052158 pages (10.0% of moml.page_ocrtext)
# reporter_standard is proposed by stripping letter-flanked digits and
# looking the result up in the current whitelist. REVIEW BEFORE APPLYING.
# confidence is "canonical" when the stripped spelling is itself a reporter in
# legalhist.reporters, and "via-variant" when it is another whitelist variant
# that maps onward, in which case the proposal inherits that entry's looseness.
#
# count	reporter_found	stripped	reporter_standard	confidence	example
211	"I1l."	"Il."	"Ill."	via-variant	"54 I1l. 408"
107	"M1o."	"Mo."	"Mo."	canonical	"85 M1o. 23"
71	"I1I."	"II."	"Ill."	via-variant	"24 I1I. 257"
66	"M1d."	"Md."	"Md."	canonical	"5 M1d. 350"
47	"M3o."	"Mo."	"Mo."	canonical	"45 M3o.\n\t\t\t7"
39	"M3d."	"Md."	"Md."	canonical	"80 M3d. 417"
36	"M1ass."	"Mass."	"Mass."	canonical	"106 M1ass. 559"
29	"M1o. App."	"Mo. App."	"Mo. App."	canonical	"37 M1o. App., 576"
27	"M1e."	"Me."	"Me."	canonical	"13 M1e. 216"
25	"M3ass."	"Mass."	"Mass."	canonical	"133 M3ass. 78"
24	"B3eav."	"Beav."	"Beav"	via-variant	"27 B3eav. 437"
22	"I1l. App."	"Il. App."	"Ill. App."	via-variant	"77 I1l. App. 234"
22	"M3e."	"Me."	"Me."	canonical	"78 M3e. 514"
20	"F1ed."	"Fed."	"F."	via-variant	"72 F1ed. 561"
18	"E1q."	"Eq."	"C.L.R."	via-variant	"11 E1q. 42"
18	"H1ow."	"How."	"How."	canonical	"10 H1ow. 474"
18	"M1l."	"Ml."	"Md."	via-variant	"3 M1l., 21"
18	"M5o."	"Mo."	"Mo."	canonical	"10 M5o. 755"
18	"P1ac."	"Pac."	"P."	via-variant	"12 P1ac. 1"
17	"I1i."	"Ii."	"Ill."	via-variant	"239 I1i. 578"
16	"C1h."	"Ch."	"Chan Cas"	via-variant	"5 C1h. 464"
16	"P1a. St."	"Pa. St."	"Pa."	via-variant	"2 P1a. St. 1"
15	"M1ich."	"Mich."	"Mich."	canonical	"22 M1ich. 3"
15	"M3ich."	"Mich."	"Mich."	canonical	"48 M3ich. 27"
14	"M3o. App."	"Mo. App."	"Mo. App."	canonical	"11 M3o. App. 555"
13	"In1d."	"Ind."	"Ind."	canonical	"6 In1d. 1"
13	"P1a."	"Pa."	"Pa."	canonical	"92 P1a. 112"
12	"B1arb."	"Barb."	"Barb."	canonical	"33 B1arb. 1"
12	"H1ill"	"Hill"	"Hill"	canonical	"2 H1ill, 243"
11	"M1inn."	"Minn."	"Minn."	canonical	"8 M1inn. 13"
10	"I1ill"	"Iill"	"Ill."	via-variant	"1 I1ill 21"
10	"l3o."	"lo."	"Mo."	via-variant	"27 l3o. 80"
9	"H1ill (N. Y.)"	"Hill (N. Y.)"	"Hill (N.Y.)"	via-variant	"1 H1ill (N. Y.), 207"
9	"I1nd."	"Ind."	"Ind."	canonical	"1 I1nd. 622"
9	"Ma1ss."	"Mass."	"Mass."	canonical	"147 Ma1ss. 455"
9	"l1o."	"lo."	"Mo."	via-variant	"1 l1o. 110"
8	"B3arb."	"Barb."	"Barb."	canonical	"23 B3arb. 420"
8	"B3ing."	"Bing."	"Bing"	via-variant	"7 B3ing. 756"
8	"M1od."	"Mod."	"Mod"	via-variant	"4 M1od. 44"
8	"M3inn."	"Minn."	"Minn."	canonical	"38 M3inn. 3"
8	"N. J. E1q."	"N. J. Eq."	"N.J. Eq."	via-variant	"13 N. J. E1q. 11"
7	"K1an."	"Kan."	"Kan."	canonical	"16 K1an. 5"
7	"M0o."	"Mo."	"Mo."	canonical	"134 M0o. 162"
7	"M3iss."	"Miss."	"Miss."	canonical	"24 M3iss. 520"
7	"l3eav."	"leav."	"Beav"	via-variant	"19 l3eav. 324"
6	"A1l."	"Al."	"Al"	via-variant	"18 A1l. 11"
6	"B1ing."	"Bing."	"Bing"	via-variant	"2 B1ing. 447"
6	"B3cav."	"Bcav."	"Beav"	via-variant	"26 B3cav. 177"
6	"B3urr."	"Burr."	"Burr"	via-variant	"1 B3urr., 543"
6	"E1l."	"El."	"El & Bl"	via-variant	"12 E1l. 246"
6	"H1ow. Pr."	"How. Pr."	"How. Pr."	canonical	"9 H1ow. Pr. 93"
6	"L. E1d."	"L. Ed."	"L. Ed."	canonical	"40 L. E1d. 6134"
6	"M1iss."	"Miss."	"Miss."	canonical	"29 M1iss. 21"
6	"M3ans."	"Mans."	"Mans."	canonical	"6 M3ans. 256"
5	"B3ro. C. C."	"Bro. C. C."	"Bro CC"	via-variant	"2 B3ro. C. C. 589"
5	"C1h. D."	"Ch. D."	"L.R.Ch."	via-variant	"27 C1h. D. 588"
5	"C1i."	"Ci."	"L.R.Ch."	via-variant	"22 C1i. 51"
5	"H1un"	"Hun"	"Hun"	canonical	"35 H1un 41"
5	"I1I. App."	"II. App."	"Ill. App."	via-variant	"11 I1I. App. 147"
5	"I1ll"	"Ill"	"Ill."	via-variant	"0 I1ll 592"
5	"L. J. C1h."	"L. J. Ch."	"L.J.Ch."	via-variant	"34 L. J. C1h.\n\t\t\t2"
5	"M5d."	"Md."	"Md."	canonical	"09 M5d. 320"
4	"A6b."	"Ab."	"Abb. Pr."	via-variant	"18 A6b., 10"
4	"Am. Re1p."	"Am. Rep."	"Am. Rep."	canonical	"32 Am. Re1p. 423"
4	"B1eav."	"Beav."	"Beav"	via-variant	"27 B1eav. 649"
4	"B3ea."	"Bea."	"Beav"	via-variant	"28 B3ea. 313"
4	"H1ilt."	"Hilt."	"Hilt."	canonical	"1 H1ilt. 2"
4	"H1ow. (U. S.)"	"How. (U. S.)"	"How."	via-variant	"5 H1ow. (U. S.), 278"
4	"I1n."	"In."	"Ill."	via-variant	"4 I1n. 59"
4	"I1ow."	"Iow."	"How."	via-variant	"14 I1ow. 487"
4	"I1un"	"Iun"	"Hun"	via-variant	"40 I1un, 278"
4	"K1y."	"Ky."	"Ky."	canonical	"2 K1y. 532"
4	"M1I."	"MI."	"Ill."	via-variant	"22 M1I. 171"
4	"M3l."	"Ml."	"Md."	via-variant	"14 M3l. 566"
4	"Ma3s."	"Mas."	"Mason"	via-variant	"97 Ma3s. 3"
4	"Ma8ss."	"Mass."	"Mass."	canonical	"5 Ma8ss. 40"
4	"N. Y. Su1pp."	"N. Y. Supp."	"N.Y.S."	via-variant	"98 N. Y. Su1pp. 163"
4	"Pe1nn. St."	"Penn. St."	"Pa."	via-variant	"62 Pe1nn. St., 329"
4	"h1ow."	"how."	"How."	via-variant	"14 h1ow., 323"
4	"l1ow."	"low."	"How."	via-variant	"7 l1ow. 22"
3	"(C1l."	"(Cl."	"Cal."	via-variant	"5\n\t\t\t(C1l. 8"
3	"A1d."	"Ad."	"Ad & E"	via-variant	"101 A1d. 4"
3	"A4t."	"At."	"A."	via-variant	"3 A4t. 17"
3	"Am. R1ep."	"Am. Rep."	"Am. Rep."	canonical	"30 Am. R1ep. 58"
3	"Am. St. Re1p."	"Am. St. Rep."	"Am. St. Rep."	canonical	"9 Am. St. Re1p. 211"
3	"Atl. R1ep."	"Atl. Rep."	"A."	via-variant	"1 Atl. R1ep. 10"
3	"B1arl."	"Barl."	"Barb."	via-variant	"12 B1arl. 359"
3	"B1ing. N. C."	"Bing. N. C."	"Bing NC"	via-variant	"6 B1ing. N. C. 824"
3	"B3ing. N. C."	"Bing. N. C."	"Bing NC"	via-variant	"3 B3ing. N. C. 266"
3	"B3ro. P. C."	"Bro. P. C."	"Bro PC"	via-variant	"6 B3ro. P. C. 28"
3	"E1sp."	"Esp."	"Esp"	via-variant	"1 E1sp. 361"
3	"Ed1w."	"Edw."	"Edw"	via-variant	"3 Ed1w. 1"
3	"El. & B1l."	"El. & Bl."	"El & Bl"	via-variant	"7 El. & B1l. 5"
3	"F1ed. Rep."	"Fed. Rep."	"F."	via-variant	"156 F1ed. Rep. 525"
3	"G3o."	"Go."	"Ga."	via-variant	"2 G3o. 261"
3	"I1II"	"III"	"Ill."	via-variant	"1 I1II 1"
3	"I1li"	"Ili"	"Ill."	via-variant	"2 I1li,, 0"
3	"Ka1n."	"Kan."	"Kan."	canonical	"30 Ka1n. 10"
3	"L. J. C1l."	"L. J. Cl."	"L.J.Ch."	via-variant	"46 L. J. C1l. 866"
3	"M1c."	"Mc."	"Md."	via-variant	"44 M1c. 286"
3	"M1isc."	"Misc."	"Misc."	canonical	"12 M1isc. 382"
3	"M1ont."	"Mont."	"Mont."	canonical	"7 M1ont. 449"
3	"M1oore"	"Moore"	"Moo KB"	via-variant	"3 M1oore, 703"
3	"M3as."	"Mas."	"Mason"	via-variant	"123 M3as. 291"
3	"M3c."	"Mc."	"Md."	via-variant	"1 M3c. 195"
3	"M3et."	"Met."	"Met."	canonical	"2 M3et., 06"
3	"M3od."	"Mod."	"Mod"	via-variant	"10 M3od. 87"
3	"M3orrell"	"Morrell"	"Morr."	via-variant	"6 M3orrell, 162"
3	"M5ass."	"Mass."	"Mass."	canonical	"144 M5ass. 153"
3	"M5e."	"Me."	"Me."	canonical	"69 M5e. 1"
3	"M5inn."	"Minn."	"Minn."	canonical	"30 M5inn. 372"
3	"Mo1d."	"Mod."	"Mod"	via-variant	"12 Mo1d. 533"
3	"N. W. R1ep."	"N. W. Rep."	"N.W."	via-variant	"41 N. W. R1ep. 401"
3	"Oh1io St."	"Ohio St."	"Ohio St."	canonical	"41 Oh1io St. 141"
3	"P1ac. Rep."	"Pac. Rep."	"P."	via-variant	"42 P1ac. Rep. 585"
3	"Pa1c."	"Pac."	"P."	via-variant	"23 Pa1c. 303"
