# Every (reporter_standard, spelling) pair cite-detector-moml builds a
# single-volume detector from, snapshotted read-only from the live database on
# 2026-09-06 with the query in DBStore.GetSingleVolReporterAbbrs. Tab separated:
# reporter_standard, then the spelling the detector is built from.
#
# The prefilter tests run the real abbreviations, not invented ones, because the
# literal gate has to hold for the shapes the corpus actually contains --
# parentheses, ampersands, embedded periods, one-character segments. Refresh it
# when legalhist.reporters or reporters_abbreviations changes; nothing outside
# the tests reads this file.
Al	Al
Al	Al (Eng)
Al	Aleyn
Al	Al (KB)
Amb	Amb
Amb	Amb (CH)
Amb	Amb (Eng)
Amb	Ambl.
Amb	Ambler
Andr	And.
Andr	Andr
Andr	Andr (Eng)
Andr	Andrew
Andr	Andrews
Andr	Andr (KB)
Bail. Eq.	Bai.Eq.
Bail. Eq.	Bail Eq
Bail. Eq.	Bail. Eq.
Bail. Eq.	Bail Eq (SC)
Bail. Eq.	Bail.Eq.(S.C.)
Bail. Eq.	Bailey
Bail. Eq.	Bailey Ch.
Bail. Eq.	Bailey Eq.
Bail. Eq.	S.C.Eq.(Bail.Eq.)
Baldw.	Bald.
Baldw.	Bald.C.C.
Baldw.	Baldw
Baldw.	Baldw.
Baldw.	Baldw (US)
Bar N	Bar N
Bar N	Bar N (CP)
Bar N	Bar N (Eng)
Bar N	Barnes
Bar N	Barnes N.C.
Bar N	Barnes Notes
Bar N	Barn.No.
Barn C	Bar.
Barn C	Bar.Ch.
Barn C	Bar.Chy.
Barn C	Barn.
Barn C	Barnard.Ch.
Barn C	Barnard.Ch.Rep.
Barn C	Barnardiston C.C.
Barn C	Barn C
Barn C	Barn C (CH)
Barn C	Barn C (Eng)
Barn C	Barn.Ch.
Barn KB	Barnard.
Barn KB	Barnard.K.B.
Barn KB	Barn KB
Barn KB	Barn. K. B.
Barn KB	Barn KB (Eng)
Barn KB	Barn KB (KB)
Bel	Bel
Bel	Bel (Eng)
Bel	Bel (KB)
Bel	Bell.
Bel	Bell.Cas.t.Rich.II
Bel	Bell.Cas.t.R.II
Bel	Bellewe
Bel	Bellewe's Ca.temp.R.II
Bel	Bellewe's Ca.t.R.II
Bell	Bell
Bell	Bell C. C.
Bell	Bell C.C.
Bell	Bell (CR)
Bell	Bell Cr.C.
Bell	Bell Cr.Ca.
Bell	Bell Cr.Cas.
Bell	Bell (Eng)
Bel	Y.B.Rich.II
Ben & D	B.& D.
Ben & D	Ben & D
Ben & D	Ben.& Dal.
Ben & D	Ben & D (CP)
Ben & D	Ben & D (Eng)
Ben & D	Benl.
Ben & D	Benl.& Dal.
Ben & D	Benl.Old
Ben & D	Dal.
Ben & D	Dal.C.P.
Ben & D	Dalison
Benl	Ben.
Benl	Bendl.
Benl	Bendloe
Benl	Ben.in Keil.
Benl	Benl
Benl	Benl (Eng)
Benl	Benl.in Keil.
Benl	Benl (KB)
Benl	Benl.K.B.
Benl	Benl.New
Benl	Benloe
Bridg J	Bridg.
Bridg J	Bridg J
Bridg J	Bridg J (CP)
Bridg J	Bridg J (Eng)
Bridg J	J.Bridg.
Bridg J	J.Bridgm.
Bridg O	Ban.Br.
Bridg O	Bridg O
Bridg O	Bridg O (CP)
Bridg O	Bridg O (Eng)
